CO2,PIR_TRIGGER,LABEL
5.31E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.38E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.28E-01,0.00E+00,3.00E+00
5.26E-01,0.00E+00,3.00E+00
5.26E-01,0.00E+00,3.00E+00
5.27E-01,0.00E+00,3.00E+00
5.18E-01,0.00E+00,3.00E+00
5.17E-01,0.00E+00,3.00E+00
5.27E-01,0.00E+00,3.00E+00
5.26E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.22E-01,0.00E+00,3.00E+00
5.24E-01,0.00E+00,3.00E+00
5.20E-01,0.00E+00,3.00E+00
5.22E-01,0.00E+00,3.00E+00
5.22E-01,0.00E+00,3.00E+00
5.28E-01,0.00E+00,3.00E+00
5.27E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.28E-01,0.00E+00,3.00E+00
5.22E-01,0.00E+00,3.00E+00
5.23E-01,0.00E+00,3.00E+00
5.18E-01,0.00E+00,3.00E+00
5.22E-01,0.00E+00,3.00E+00
5.26E-01,0.00E+00,3.00E+00
5.20E-01,0.00E+00,3.00E+00
5.28E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.30E-01,0.00E+00,3.00E+00
5.26E-01,0.00E+00,3.00E+00
5.26E-01,0.00E+00,3.00E+00
5.27E-01,0.00E+00,3.00E+00
5.30E-01,0.00E+00,3.00E+00
5.20E-01,0.00E+00,3.00E+00
5.20E-01,0.00E+00,3.00E+00
5.22E-01,0.00E+00,3.00E+00
5.26E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.27E-01,0.00E+00,3.00E+00
5.28E-01,0.00E+00,3.00E+00
5.30E-01,0.00E+00,3.00E+00
5.24E-01,0.00E+00,3.00E+00
5.20E-01,0.00E+00,3.00E+00
5.23E-01,0.00E+00,3.00E+00
5.19E-01,0.00E+00,3.00E+00
5.19E-01,0.00E+00,3.00E+00
5.14E-01,0.00E+00,3.00E+00
5.19E-01,0.00E+00,3.00E+00
5.18E-01,0.00E+00,3.00E+00
5.19E-01,0.00E+00,3.00E+00
5.23E-01,0.00E+00,3.00E+00
5.20E-01,0.00E+00,3.00E+00
5.15E-01,0.00E+00,3.00E+00
5.15E-01,0.00E+00,3.00E+00
5.17E-01,0.00E+00,3.00E+00
5.23E-01,0.00E+00,3.00E+00
5.23E-01,0.00E+00,3.00E+00
5.26E-01,0.00E+00,3.00E+00
5.23E-01,0.00E+00,3.00E+00
5.30E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.26E-01,0.00E+00,3.00E+00
5.20E-01,0.00E+00,3.00E+00
5.20E-01,0.00E+00,3.00E+00
5.20E-01,0.00E+00,3.00E+00
5.22E-01,0.00E+00,3.00E+00
5.18E-01,0.00E+00,3.00E+00
5.18E-01,0.00E+00,3.00E+00
5.07E-01,0.00E+00,3.00E+00
5.10E-01,0.00E+00,3.00E+00
5.18E-01,0.00E+00,3.00E+00
5.13E-01,0.00E+00,3.00E+00
5.20E-01,5.26E-02,3.00E+00
5.20E-01,0.00E+00,3.00E+00
5.20E-01,0.00E+00,3.00E+00
5.27E-01,0.00E+00,3.00E+00
5.23E-01,0.00E+00,3.00E+00
5.27E-01,0.00E+00,3.00E+00
5.26E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.28E-01,5.26E-02,3.00E+00
5.28E-01,0.00E+00,3.00E+00
5.27E-01,0.00E+00,3.00E+00
5.27E-01,0.00E+00,3.00E+00
5.27E-01,0.00E+00,3.00E+00
5.19E-01,0.00E+00,3.00E+00
5.15E-01,0.00E+00,3.00E+00
5.14E-01,0.00E+00,3.00E+00
5.18E-01,5.26E-02,3.00E+00
5.14E-01,0.00E+00,3.00E+00
5.24E-01,1.05E-01,4.00E+00
5.27E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.27E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.30E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.30E-01,0.00E+00,3.00E+00
5.30E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.30E-01,0.00E+00,3.00E+00
5.27E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.28E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.30E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.28E-01,0.00E+00,3.00E+00
5.24E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.47E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.44E-01,5.26E-02,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.31E-01,5.26E-02,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.47E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.48E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.47E-01,5.26E-02,3.00E+00
5.48E-01,0.00E+00,3.00E+00
5.51E-01,0.00E+00,3.00E+00
5.50E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.38E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.40E-01,5.26E-02,3.00E+00
5.47E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.43E-01,5.26E-02,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.48E-01,0.00E+00,3.00E+00
5.50E-01,0.00E+00,3.00E+00
5.54E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.48E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.51E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.50E-01,0.00E+00,3.00E+00
5.48E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.51E-01,1.05E-01,4.00E+00
5.96E-01,2.63E-01,4.00E+00
6.26E-01,3.16E-01,4.00E+00
6.50E-01,2.11E-01,4.00E+00
6.61E-01,2.63E-01,4.00E+00
6.63E-01,2.11E-01,4.00E+00
6.67E-01,3.16E-01,4.00E+00
6.71E-01,1.05E-01,4.00E+00
6.71E-01,3.68E-01,4.00E+00
6.71E-01,6.84E-01,1.00E+00
6.79E-01,5.26E-01,4.00E+00
6.66E-01,1.05E-01,4.00E+00
6.47E-01,0.00E+00,0.00E+00
6.22E-01,0.00E+00,0.00E+00
6.05E-01,0.00E+00,0.00E+00
5.96E-01,0.00E+00,0.00E+00
5.84E-01,5.26E-02,4.00E+00
5.98E-01,5.26E-02,4.00E+00
6.20E-01,5.26E-01,4.00E+00
6.27E-01,1.05E-01,4.00E+00
6.38E-01,1.58E-01,4.00E+00
6.49E-01,1.05E-01,4.00E+00
6.54E-01,4.21E-01,4.00E+00
6.61E-01,2.63E-01,4.00E+00
6.59E-01,1.05E-01,4.00E+00
6.59E-01,1.58E-01,4.00E+00
6.66E-01,1.58E-01,4.00E+00
6.62E-01,1.05E-01,4.00E+00
6.68E-01,3.68E-01,4.00E+00
6.63E-01,4.74E-01,4.00E+00
6.63E-01,1.58E-01,4.00E+00
6.64E-01,2.11E-01,4.00E+00
6.38E-01,0.00E+00,0.00E+00
6.16E-01,0.00E+00,0.00E+00
6.06E-01,0.00E+00,0.00E+00
5.80E-01,0.00E+00,3.00E+00
5.80E-01,0.00E+00,3.00E+00
5.67E-01,0.00E+00,3.00E+00
5.65E-01,0.00E+00,3.00E+00
5.65E-01,0.00E+00,3.00E+00
5.68E-01,0.00E+00,3.00E+00
5.56E-01,0.00E+00,3.00E+00
5.57E-01,0.00E+00,3.00E+00
5.51E-01,0.00E+00,3.00E+00
5.50E-01,5.26E-02,3.00E+00
5.50E-01,0.00E+00,3.00E+00
5.50E-01,0.00E+00,3.00E+00
5.52E-01,0.00E+00,3.00E+00
5.56E-01,0.00E+00,3.00E+00
5.48E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.51E-01,0.00E+00,3.00E+00
5.38E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.48E-01,0.00E+00,3.00E+00
5.47E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.31E-01,5.26E-02,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.43E-01,5.26E-02,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.38E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
