CO2,PIR_TRIGGER,LABEL
3.045173870653233861e-01,4.000000000000000083e-02,3.000000000000000000e+00
2.817679558011049745e-01,0.000000000000000000e+00,3.000000000000000000e+00
2.655183620409489742e-01,0.000000000000000000e+00,3.000000000000000000e+00
2.541436464088397962e-01,0.000000000000000000e+00,3.000000000000000000e+00
2.411439714007149737e-01,0.000000000000000000e+00,3.000000000000000000e+00
2.599935001624959496e-01,1.199999999999999956e-01,4.000000000000000000e+00
3.145921351966201041e-01,5.600000000000000533e-01,2.000000000000000000e+00
3.867403314917127188e-01,3.200000000000000067e-01,4.000000000000000000e+00
4.423139421514462044e-01,2.399999999999999911e-01,4.000000000000000000e+00
4.835879103022424630e-01,3.599999999999999867e-01,4.000000000000000000e+00
5.388365290867728197e-01,6.800000000000000488e-01,2.000000000000000000e+00
5.560610984725381511e-01,4.000000000000000222e-01,1.000000000000000000e+00
5.895352616184595940e-01,4.000000000000000083e-02,3.000000000000000000e+00
6.616834579135522088e-01,0.000000000000000000e+00,3.000000000000000000e+00
7.175820604484888232e-01,1.600000000000000033e-01,1.000000000000000000e+00
6.779330516737082091e-01,8.000000000000000167e-02,3.000000000000000000e+00
6.545336366590834842e-01,0.000000000000000000e+00,3.000000000000000000e+00
6.132596685082872812e-01,4.000000000000000083e-02,3.000000000000000000e+00
5.856353591160220473e-01,0.000000000000000000e+00,3.000000000000000000e+00
5.625609359766006179e-01,0.000000000000000000e+00,3.000000000000000000e+00
5.440363990900227709e-01,0.000000000000000000e+00,3.000000000000000000e+00
5.209619759506012304e-01,0.000000000000000000e+00,3.000000000000000000e+00
5.043873903152421567e-01,2.800000000000000266e-01,4.000000000000000000e+00
5.277868053298667705e-01,5.200000000000000178e-01,1.000000000000000000e+00
5.479363015924602065e-01,4.400000000000000022e-01,1.000000000000000000e+00
5.450113747156321020e-01,4.400000000000000022e-01,1.000000000000000000e+00
5.411114722131946664e-01,2.399999999999999911e-01,4.000000000000000000e+00
5.365615859603509730e-01,1.199999999999999956e-01,3.000000000000000000e+00
5.294117647058823595e-01,2.399999999999999911e-01,4.000000000000000000e+00
5.307117322066948750e-01,2.000000000000000111e-01,4.000000000000000000e+00
5.398115047123821508e-01,3.200000000000000067e-01,4.000000000000000000e+00
5.612609684757881023e-01,2.399999999999999911e-01,4.000000000000000000e+00
5.992850178745531275e-01,2.800000000000000266e-01,1.000000000000000000e+00
6.246343841403965147e-01,6.800000000000000488e-01,1.000000000000000000e+00
6.841078973025673804e-01,8.000000000000000444e-01,1.000000000000000000e+00
5.992850178745531275e-01,6.400000000000000133e-01,1.000000000000000000e+00
5.245368865778355927e-01,2.000000000000000111e-01,4.000000000000000000e+00
4.907377315567110765e-01,2.000000000000000111e-01,4.000000000000000000e+00
4.556386090347741558e-01,1.199999999999999956e-01,3.000000000000000000e+00
4.306142346441338975e-01,2.399999999999999911e-01,4.000000000000000000e+00
4.406889827754306155e-01,4.400000000000000022e-01,4.000000000000000000e+00
4.692882677933051805e-01,1.199999999999999956e-01,3.000000000000000000e+00
4.832629184270393341e-01,5.999999999999999778e-01,2.000000000000000000e+00
4.865128371790705120e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.865128371790705120e-01,5.999999999999999778e-01,2.000000000000000000e+00
1.998700032499187429e-01,4.000000000000000222e-01,4.000000000000000000e+00
2.638934026649333853e-01,5.600000000000000533e-01,2.000000000000000000e+00
3.412414689632758957e-01,5.600000000000000533e-01,2.000000000000000000e+00
3.623659408514787184e-01,5.600000000000000533e-01,2.000000000000000000e+00
3.103672408189795395e-01,2.800000000000000266e-01,4.000000000000000000e+00
3.093922651933701529e-01,5.600000000000000533e-01,2.000000000000000000e+00
2.778680532986675389e-01,3.599999999999999867e-01,4.000000000000000000e+00
2.343191420214494614e-01,6.800000000000000488e-01,2.000000000000000000e+00
2.170945726356841021e-01,8.000000000000000444e-01,2.000000000000000000e+00
2.099447513812154609e-01,5.999999999999999778e-01,2.000000000000000000e+00
2.443938901527461793e-01,8.800000000000000044e-01,2.000000000000000000e+00
2.564185895352616429e-01,2.399999999999999911e-01,4.000000000000000000e+00
3.165420864478388219e-01,2.399999999999999911e-01,4.000000000000000000e+00
3.435164120896977424e-01,4.799999999999999822e-01,4.000000000000000000e+00
3.896652583685407678e-01,7.199999999999999734e-01,2.000000000000000000e+00
4.332141696457588731e-01,4.799999999999999822e-01,4.000000000000000000e+00
3.990900227494312835e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.717907052323691786e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.613909652258693317e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.318167045823854355e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.165420864478388219e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.035424114397139994e-01,0.000000000000000000e+00,3.000000000000000000e+00
